OTU	16SAMP-716	16SAMP-725	16SAMP-726	16SAMP-735	16SAMP-736	16SAMP-737	16SAMP-745	16SAMP-746	16SAMP-516	16SAMP-535	16SAMP-536	16SAMP-537	16SAMP-538	16SAMP-625	16SAMP-2613	16SAMP-626	16S-AMP-1098	16SAMP-4927	16SAMP-4317	16SAMP-4929	16SAMP-4931	16S-AMP-1099	16SAMP-4328	16SAMP-4937	16SAMP-4938	16SAMP-4940	16S-AMP-1100	16SAMP-4941	16SAMP-4942	16SAMP-4943	16SAMP-4344	16SAMP-804	16S-AMP-1101	16SAMP-4945	16SAMP-4349	16SAMP-4946	16SAMP-805	16SAMP-806	16SAMP-807	16S-AMP-1114	16SAMP-808	16SAMP-809	16SAMP-4947	16SAMP-810	16SAMP-4361	16S-AMP-1168	16SAMP-811	16SAMP-4363	16SAMP-812	16SAMP-4365	16SAMP-813	16SAMP-4368	16S-AMP-1169	16SAMP-4370	16SAMP-4372	16SAMP-3034	16SAMP-4374	16SAMP-3035	16S-AMP-1170	16SAMP-3036	16SAMP-4376	16SAMP-3037	16SAMP-3038	16SAMP-4378	16SAMP-3039	16SAMP-3040	16SAMP-3041	16SAMP-4380	16SAMP-3042	16SAMP-3043	16SAMP-3044	16SAMP-3045	16SAMP-3046	16SAMP-3047	16SAMP-3048	16SAMP-3049	16SAMP-3050	16SAMP-3051	16SAMP-3052	16SAMP-3053	16SAMP-3054	16SAMP-3055	16SAMP-4384	16SAMP-4386	16SAMP-4953	16SAMP-4954	16SAMP-4392	16SAMP-4394	16SAMP-4396	16SAMP-4958	16SAMP-4400	16SAMP-13288	16SAMP-10896	16SAMP-10911	16SAMP-10932	MQ180319-32	MQ180319-56	MQ180319-71	MQ180319-95	MQ180309-175	MQ180309-196	MQ180309-208	MQ180309-229	MQ180819-290	MQ180819-312	MQ181221-71	MQ181221-94
ASV1	2500	1736	3185	3005	1178	1982	1290	2009	3776	2711	9162	1828	1201	8965	8512	2482	6292	690	729	715	432	3141	678	841	783	1085	11792	808	350	538	937	861	3310	549	1040	659	858	910	944	3768	1173	685	216	673	821	2681	1660	662	1946	808	735	558	3311	636	428	1007	236	242	2177	366	435	392	372	501	526	430	720	1041	1295	1470	1275	1683	1024	1255	1031	704	805	870	759	523	420	309	452	539	271	284	379	403	394	257	575	598	800	1845	338	1498	1537	1397	470	953	557	733	1193	2391	962	2744	963
ASV2	1188	2252	594	4938	837	1023	1113	2498	2231	2843	4799	592	517	12736	9332	2210	8922	2610	2009	2281	1827	6171	1075	2897	3421	2521	11236	1569	644	932	951	1359	6220	1310	958	1572	1392	1386	1932	9998	5527	4232	1537	2158	2168	15898	5580	1949	10190	3183	4931	2501	27932	2547	1594	9325	1084	2655	18105	3077	1582	2871	4052	1818	4350	2864	4939	1586	7576	4334	3846	15058	6296	6008	5285	5707	4171	2790	2252	1691	1110	653	456	650	1178	1444	532	283	709	1399	811	2673	1700	1577	1185	5313	5771	2292	762	3261	1561	997	1602	2802	2799	1869	832
ASV3	13	19	1	25	3	2	56	106	243	139	118	27	34	103	115	99	390	113	113	111	79	334	40	134	273	291	2695	408	211	351	256	362	1840	358	201	466	342	364	290	1261	486	516	223	300	172	1643	498	182	961	314	710	303	3875	309	279	1144	190	413	2173	465	270	354	456	198	493	417	603	258	1004	514	433	83	610	532	566	508	603	546	565	569	480	332	73	100	170	177	59	56	83	186	95	179	96	44	88	143	283	249	78	104	25	92	237	291	97	441	313
ASV4	1740	876	293	758	275	799	1210	1739	1529	1674	1807	276	472	3053	2586	613	2354	662	429	452	541	1153	264	419	326	243	1166	185	171	193	199	368	1775	292	198	318	541	565	775	2789	1706	1950	625	1246	456	4220	2199	385	2261	415	940	217	3264	214	184	1891	146	601	3787	605	408	787	1105	647	2227	1957	3541	1032	5179	2402	1705	791	1885	1620	1541	1600	1043	682	507	589	442	181	104	116	424	452	138	81	125	332	165	1021	272	273	311	603	717	780	628	1639	322	272	658	1351	577	303	415
ASV5	501	218	334	776	222	649	604	1153	1141	341	329	122	207	1016	475	409	2602	889	716	786	507	1467	406	887	891	620	2519	598	147	186	229	265	1071	276	188	234	197	178	194	501	349	200	76	88	71	634	198	80	311	102	162	120	1448	180	123	1078	87	279	1568	348	208	358	450	185	404	281	530	184	722	492	407	655	639	605	637	812	588	507	624	586	562	499	352	419	613	829	323	120	382	757	419	581	353	664	335	246	116	256	171	440	135	186	315	253	66	148	231
ASV6	820	603	447	880	521	841	507	553	1200	740	956	322	214	1771	1745	602	2019	448	348	347	244	707	139	291	376	284	1636	193	162	206	195	250	1190	260	242	305	278	252	247	1456	633	442	246	382	205	1400	740	186	878	289	456	190	2281	175	205	954	135	307	1104	381	273	383	470	301	639	550	721	399	1240	743	530	29	636	540	552	430	493	337	313	307	259	196	202	211	302	381	166	193	196	371	168	261	151	162	94	337	376	388	188	380	94	239	316	380	174	228	132
ASV7	82	101	56	125	67	185	142	279	352	296	682	112	91	1321	816	211	742	96	80	118	80	391	41	116	119	93	911	84	41	46	73	93	330	65	79	63	88	98	153	856	327	212	54	173	140	846	310	100	400	100	172	61	536	46	30	146	17	35	221	42	40	43	40	37	70	57	68	84	176	186	150	325	158	187	161	109	125	117	122	81	68	63	19	35	26	30	25	20	30	18	27	59	65	77	27	135	130	83	28	184	76	30	41	257	174	184	98
ASV8	758	476	469	119	133	484	300	417	611	338	283	277	194	606	2827	584	1297	325	297	318	221	621	90	260	368	328	1828	225	190	175	182	198	1377	275	140	321	243	204	168	870	528	248	130	153	98	1182	304	107	387	145	384	157	2733	181	105	954	83	319	898	243	134	244	242	109	336	214	327	123	503	333	273	5	417	360	424	504	477	332	342	281	365	291	128	137	364	356	143	174	119	373	241	553	179	193	121	113	369	309	47	269	231	357	337	275	278	521	250
ASV9	7	44	13	22	9	8	8	206	309	33	88	116	13	219	1067	3280	2167	174	146	332	73	672	42	159	374	430	6791	353	191	320	123	446	2725	278	161	460	680	838	311	1182	535	676	175	459	406	6678	3015	1051	3531	208	3753	1934	41000	1351	954	5436	765	2817	11851	683	160	1697	3650	944	3501	1011	3116	477	4464	4813	3819	1884	4024	2674	3831	4404	3030	3658	4953	4556	2899	1723	445	598	1402	1649	416	439	575	1279	711	1314	508	1834	1479	29	124	421	199	160	312	43	382	2	20	326	823
ASV10	604	1267	223	1000	654	1101	816	938	1205	995	2690	518	557	6427	3284	839	2912	435	279	350	224	1143	165	256	200	216	2330	185	90	158	166	248	1103	172	216	216	242	321	429	2764	1033	690	203	553	450	2456	1105	310	1404	434	569	231	2346	256	174	874	118	230	1445	315	278	379	433	451	625	722	1134	1092	2203	1947	1774	4128	1191	1160	990	624	550	465	356	262	233	168	182	213	144	184	170	171	180	192	211	268	131	82	25	402	393	222	99	468	91	73	133	766	235	245	193
